Date,CPIAUCSL
Jan-14,235.288
Feb-14,235.547
Mar-14,236.028
Apr-14,236.468
May-14,236.918
Jun-14,237.231
Jul-14,237.498
Aug-14,237.46
Sep-14,237.477
Oct-14,237.43
Nov-14,236.983
Dec-14,236.252
Jan-15,234.747
Feb-15,235.342
Mar-15,235.976
Apr-15,236.222
May-15,237.001
Jun-15,237.657
Jul-15,238.034
Aug-15,238.033
Sep-15,237.498
Oct-15,237.733
Nov-15,238.017
Dec-15,237.761
Jan-16,237.827
Feb-16,237.514
Mar-16,237.99
Apr-16,238.835
May-16,239.44
Jun-16,240.144
Jul-16,240.111
Aug-16,240.595
Sep-16,241.068
Oct-16,241.641
Nov-16,241.993
Dec-16,242.712
Jan-17,243.717
Feb-17,244.028
Mar-17,243.721
Apr-17,244.058
May-17,243.926
Jun-17,244.179
Jul-17,244.328
Aug-17,245.304
Sep-17,246.445
Oct-17,246.57
Nov-17,247.333
Dec-17,247.847
Jan-18,248.816
Feb-18,249.475
Mar-18,249.413
Apr-18,249.957
May-18,250.64
Jun-18,251.176
Jul-18,251.482
Aug-18,251.905
Sep-18,252.261
Oct-18,252.777
Nov-18,252.662
Dec-18,252.653
Jan-19,252.55
Feb-19,253.181
Mar-19,254.095
Apr-19,254.943
May-19,255.167
Jun-19,255.402
Jul-19,256.087
Aug-19,256.294
Sep-19,256.593
Oct-19,257.229
Nov-19,257.824
Dec-19,258.444
Jan-20,258.82
Feb-20,259.05
Mar-20,257.953
Apr-20,255.902
May-20,255.768
Jun-20,257.214
Jul-20,258.723
Aug-20,259.681
Sep-20,260.209
Oct-20,260.325
Nov-20,260.817
